name,t,date,p_up,actual_up,n_up
Glock-18 | Wasteland Rebel (Minimal Wear),36,2026-08-26,0.0,1,0
Glock-18 | Wasteland Rebel (Minimal Wear),38,2026-08-28,0.0,1,0
Glock-18 | Wasteland Rebel (Minimal Wear),39,2026-08-29,0.0,0,0
Glock-18 | Wasteland Rebel (Minimal Wear),41,2026-08-31,0.0,0,0
Glock-18 | Wasteland Rebel (Minimal Wear),42,2026-09-03,0.0,0,0
Glock-18 | Wasteland Rebel (Minimal Wear),44,2026-09-05,0.0,0,0
M249 | Humidor (Field-Tested),30,2026-08-20,0.0,1,0
M249 | Humidor (Field-Tested),32,2026-08-22,0.2,1,2
M249 | Humidor (Field-Tested),33,2026-08-23,0.0,1,0
M249 | Humidor (Field-Tested),35,2026-08-25,0.2,1,2
M249 | Humidor (Field-Tested),36,2026-08-26,0.2,1,2
M249 | Humidor (Field-Tested),38,2026-08-28,0.2,1,2
M249 | Humidor (Field-Tested),39,2026-08-29,0.1,1,1
M249 | Humidor (Field-Tested),41,2026-08-31,0.6,1,6
M249 | Humidor (Field-Tested),42,2026-09-03,0.0,0,0
M249 | Humidor (Field-Tested),44,2026-09-05,0.0,0,0
M249 | Impact Drill (Field-Tested),30,2026-08-20,0.7,1,7
M249 | Impact Drill (Field-Tested),32,2026-08-22,0.8,1,8
M249 | Impact Drill (Field-Tested),33,2026-08-23,0.5,0,5
M249 | Impact Drill (Field-Tested),35,2026-08-25,0.8,0,8
M249 | Impact Drill (Field-Tested),36,2026-08-26,0.4,0,4
M249 | Impact Drill (Field-Tested),38,2026-08-28,0.2,0,2
M249 | Impact Drill (Field-Tested),39,2026-08-29,0.3,0,3
M249 | Impact Drill (Field-Tested),41,2026-08-31,0.1,0,1
M249 | Impact Drill (Field-Tested),42,2026-09-03,0.6,0,6
M249 | Impact Drill (Field-Tested),44,2026-09-05,0.3,0,3
M249 | Magma (Field-Tested),30,2026-08-20,1.0,1,10
M249 | Magma (Field-Tested),32,2026-08-22,1.0,1,10
M249 | Magma (Field-Tested),33,2026-08-23,1.0,1,10
M249 | Magma (Field-Tested),35,2026-08-25,1.0,1,10
M249 | Magma (Field-Tested),36,2026-08-26,0.9,1,9
M249 | Magma (Field-Tested),38,2026-08-28,0.7,1,7
M249 | Magma (Field-Tested),39,2026-08-29,0.7,1,7
M249 | Magma (Field-Tested),41,2026-08-31,0.2,1,2
M249 | Magma (Field-Tested),42,2026-09-03,0.2,0,2
M249 | Magma (Field-Tested),44,2026-09-05,0.0,0,0
M4A1-S | Atomic Alloy (Field-Tested),30,2026-08-20,1.0,0,10
M4A1-S | Atomic Alloy (Field-Tested),32,2026-08-22,1.0,0,10
M4A1-S | Atomic Alloy (Field-Tested),33,2026-08-23,1.0,0,10
